Name,Distance from Changi Airport in km,Hotel Stars,District,Distance from centre in metres,Number of Reviews,Guest Rating,Price in SGD,Extra Fees,Final Price,Subway Access,Love Hotel
Hilton Garden Inn Singapore Serangoon,15.5,4,Farrer Park,2000,"5,002",8.20,308,55,363,1,0
Parc Sovereign Hotel - Tyrwhitt,14.4,4,Lavender,2600,"2,762",7.50,190,34,224,1,0
Grand Hyatt Singapore,17.5,5,Orchard,2800,"1,805",8.60,500,89,589,1,0
Fairmont Singapore,15.8,5,City Hall,450000,"1,963",9.00,558,99,657,1,0
Marina Mandarin Singapore,15.6,5,Marina Bay,650000,"2,709",8.50,456,81,537,1,0
Village Hotel Bugis by Far East Hospitality,15,4,Kampong Glam,1500,"4,791",7.90,267,47,314,1,0
The Outpost Hotel Sentosa by Far East Hospitality,21.3,5,Sentosa Island,5000,301,9.10,666,118,784,0,0
Value Hotel Thomson,15.9,3,Novena,4200,"1,615",6.40,234,41,275,0,0
YMCA @ One Orchard,16.3,3,Dhoby Ghaut,950000,"3,271",7.90,233,41,274,1,0
Mercure Singapore On Stevens,17.8,4,Orchard,3700,"1,265",8.10,336,59,395,0,0
M Hotel Singapore,17.7,5,Shenton Way,2000,"2,205",8.30,391,69,460,1,0
Ibis Budget Singapore Clarke Quay,16.8,3,Boat Quay,650000,"4,360",7.50,217,38,255,1,0
InterContinental Singapore Robertson Quay,17.5,5,Robertson Quay,1500,600,8.80,398,71,469,0,0
Carlton City Hotel Singapore,17.7,5,Chinatown,1900,"2,225",8.90,370,66,436,1,0
Park View Hotel,15.4,3,Bugis,900000,"1,693",7.40,216,38,254,1,0
The Fullerton Hotel Singapore,16.3,5,Marina Bay,600000,"2,293",9.10,590,104,694,1,0
Furama City Centre,17.1,4,Pearl's Hill,1000,871,7.90,269,48,317,1,0
Summer View Hotel,15.7,3,Bencoolen,1200,"1,019",8.10,250,44,294,1,0
Hotel 81 Premier Hollywood,12.7,2,Geylang,3600,"1,980",7.10,238,42,280,0,1
The Capitol Kempinski Hotel Singapore,16.1,5,City Hall,350000,429,9.40,780,138,918,1,0
M Social Singapore,17.7,4,Robertson Quay,1700,"2,943",8.50,391,69,460,0,0
Grand Mercure Singapore Roxy,10.3,4,Katong,6000,"1,397",8.40,300,53,353,0,0
Grand Park City Hall,16.3,5,City Hall,350000,"1,800",8.80,451,80,531,1,0
Hotel 81 Elegance,14.5,2,Lavender,2600,"2,181",7.00,202,36,238,1,1
Novotel Clarke Quay,16.9,4,Clarke Quay,900000,"3,143",8.30,362,64,426,1,0
Furama RiverFront,17.9,4,Robertson Quay,1900,"1,555",7.80,262,46,308,0,0
Grand Copthorne Waterfront,17.9,5,Robertson Quay,1900,"2,033",8.00,357,63,420,0,0
"Capri by Fraser Changi City, Singapore",3,4,Changi,13000,"1,714",8.80,266,47,313,1,0
"Four Points by Sheraton Singapore, Riverview",17.8,4,Robertson Quay,1800,935,8.50,345,61,406,0,0
Porcelain Hotel by JL Asia,17.3,3,Chinatown,1100,"1,397",7.40,240,43,283,1,0
Copthorne King's Hotel,17.8,4,Robertson Quay,1800,"1,691",7.70,298,53,351,0,0
Mercure Singapore Bugis,15.7,4,Victoria,1100,"2,267",8.10,311,55,366,1,0
Rendezvous Hotel Singapore by Far East Hospitality,16.1,4,Bencoolen,1100,"2,826",8.70,360,64,424,1,0
Hilton Singapore,17.9,5,Orchard,3100,709,7.90,442,78,520,1,0
Andaz Singapore – A Concept by Hyatt,15.1,5,Bugis,1200,"1,564",9.20,600,106,706,1,0
